"ID","Player","Team","Position","RkOv","Status","Opponent","FPts","FP/G","Ros","+/-"
"*05w91*","Hwang Hee-Chan","WOL","F","226","FA","@TOT Sat 8:00PM","20.57","5.14","11%","-2.4%"
"*05t6x*","William Osula","NEW","F","227","FA","ARS Sun 4:30PM","20.56","4.11","10%","-3.7%"
"*05mxa*","Joel Veltman","BHA","D","228","FA","@CHE Sat 3:00PM","20.55","6.85","1%","+0.3%"
"*06jh3*","Joshua King","FUL","M","229","CTM","@AVL Sun 2:00PM","20.54","4.11","14%","-7.4%"
"*06y27*","Loum Tchaouna","BUR","F","230","FA","@MCI Sat 3:00PM","20.43","4.09","7%","+0.2%"
"*06pe1*","Mateus Goncalo Espanha Fernandes","WHU","M","231","FA","@EVE Mon 8:00PM","20.21","6.74","32%","-1.8%"
"*06kwp*","Josh Acheampong","CHE","D","232","FA","BHA Sat 3:00PM","20.05","20.05","7%","-1.8%"
"*052cd*","Mason Mount","MUN","M","233","FA","@BRF Sat 12:30PM","19.94","4.98","25%","-3.3%"
"*067x8*","Nico OReilly","MCI","M","234","FA","BUR Sat 3:00PM","19.59","4.9","13%","+1.8%"
"*06p5s*","Brajan Gruda","BHA","M","235","FA","@CHE Sat 3:00PM","19.53","3.91","31%","+4%"
"*06mow*","Jorgen Strand Larsen","WOL","F","236","ojag7","@TOT Sat 8:00PM","19.31","6.44","88%","-1.3%"
"*02lv9*","James Milner","BHA","M","237","FA","@CHE Sat 3:00PM","19.09","4.77","1%","-0.6%"
"*06clz*","Malo Gusto","CHE","D","238","FA","BHA Sat 3:00PM","19.03","4.76","29%","-4.1%"
"*0520r*","Leandro Trossard","ARS","M","239","Rozza08","@NEW Sun 4:30PM","18.9","6.3","40%","+9.9%"
"*06dwm*","Jacob Bruun Larsen","BUR","F","240","FA","@MCI Sat 3:00PM","18.82","6.27","3%","-0.2%"
"*051kl*","Emiliano Buendia","AVL","M","241","FA","FUL Sun 2:00PM","18.62","4.66","16%","+4.6%"
"*063hu*","Amadou Onana","AVL","M","242","CTM","FUL Sun 2:00PM","18.56","9.28","10%","-0.7%"
"*06zce*","Jhon Arias","WOL","M","243","FA","@TOT Sat 8:00PM","18.45","3.69","24%","-5.2%"
"*04lnu*","Lukas Nmecha","LEE","F","244","FA","BOU Sat 3:00PM","18.43","3.69","9%","-1.1%"
"*070bg*","Jackson Tchatchoua","WOL","D","245","FA","@TOT Sat 8:00PM","18.33","4.58","5%","+2.2%"
"*06mpp*","Mats Wieffer","BHA","M","246","FA","@CHE Sat 3:00PM","18.31","6.1","33%","-3.1%"
"*070fa*","Xavi Simons","TOT","M","247","BMB","WOL Sat 8:00PM","17.76","8.88","83%","+0.7%"
"*0700p*","Malick Thiaw","NEW","D","248","FA","ARS Sun 4:30PM","17.57","8.79","6%","+2.2%"
"*05r9b*","Martin Odegaard","ARS","M","249","Fsail93","@NEW Sun 4:30PM","17.41","4.35","99%","-0.5%"
"*05y9n*","Lewis Hall","NEW","D","250","CTM","ARS Sun 4:30PM","17.37","5.79","75%","-0.6%"
"*06v07*","Rayan Cherki","MCI","M","251","FA","BUR Sat 3:00PM","17.3","8.65","80%","-2.2%"
"*05tr9*","Mathias Jensen","BRF","M","252","FA","MUN Sat 12:30PM","17.22","5.74","1%","-0.1%"
"*06y9m*","Maxim De Cuyper","BHA","D","253","FA","@CHE Sat 3:00PM","17.18","4.29","46%","-12.6%"
"*070f4*","Ladislav Krejci","WOL","D","254","FA","@TOT Sat 8:00PM","17.15","8.57","1%","+0.2%"
"*06fxv*","Jean-Ricner Bellegarde","WOL","M","255","FA","@TOT Sat 8:00PM","16.9","3.38","18%","-0.4%"
"*06v01*","Ilia Gruev","LEE","M","256","FA","BOU Sat 3:00PM","16.86","4.21","1%","-0.1%"
"*06o2t*","Niclas Fullkrug","WHU","F","257","W <small>(Fri)</small>","@EVE Mon 8:00PM","16.76","4.19","32%","-5.2%"
"*06pic*","Andre","WOL","M","258","FA","@TOT Sat 8:00PM","16.72","3.34","3%","-0.2%"
"*0554i*","Joelinton","NEW","M","259","FPLL","ARS Sun 4:30PM","16.57","5.52","49%","-4.6%"
"*06pib*","Manuel Ugarte","MUN","M","260","FA","@BRF Sat 12:30PM","16.55","4.14","5%","-1.7%"
"*04e1e*","Ben White","ARS","D","261","FA","@NEW Sun 4:30PM","16.3","16.3","58%","-5.7%"
"*02lp5*","Adam Smith","BOU","D","262","FA","@LEE Sat 3:00PM","16.25","5.42","2%","0%"
"*05ogb*","Anthony Elanga","NEW","F","263","joester1","ARS Sun 4:30PM","16.05","3.21","91%","-5.2%"
"*070hd*","Tolu Arokodare","WOL","F","264","FA","@TOT Sat 8:00PM","16","8","14%","+1.6%"
"*070f9*","Yeremy Pino","CRY","M","265","ojag7","LIV Sat 3:00PM","15.97","5.32","62%","+0.4%"
"*06eo0*","Lesley Ugochukwu","BUR","M","266","FA","@MCI Sat 3:00PM","15.96","3.99","1%","-0.3%"
"*05udg*","Jose Sa","WOL","G","267","FA","@TOT Sat 8:00PM","15.95","3.99","17%","-1%"
"*03yr0*","Daniel James","LEE","M","268","FA","BOU Sat 3:00PM","15.79","3.95","32%","-6.4%"
"*06v05*","Jeremie Frimpong","LIV","D","269","BukAke","@CRY Sat 3:00PM","15.72","7.86","99%","+0.2%"
"*06ymt*","Marco Bizot","AVL","G","270","FA","FUL Sun 2:00PM","15.6","7.8","5%","-1.8%"
"*06r5b*","Diego Gomez","BHA","M","271","FA","@CHE Sat 3:00PM","15.53","3.88","1%","-0.3%"
"*05ojf*","Fabio Carvalho","BRF","M","272","FA","MUN Sat 12:30PM","15.38","3.84","8%","+0.1%"
"*064a0*","Wilfried Gnonto","LEE","F","273","FA","BOU Sat 3:00PM","15.22","3.81","24%","-4.1%"
"*070ha*","Florentino Ibrain Morris Luis","BUR","M","274","FA","@MCI Sat 3:00PM","15.12","7.56","2%","+0.4%"
"*05ue7*","Frank Onyeka","BRF","M","275","FA","MUN Sat 12:30PM","15.1","5.03","0%","0%"
"*04sat*","Emile Smith Rowe","FUL","M","276","feeneya","@AVL Sun 2:00PM","14.74","2.95","31%","-3.3%"
"*04tzt*","Jefferson Lerma","CRY","M","277","FA","LIV Sat 3:00PM","14.71","2.94","1%","-0.5%"
"*05yg5*","Toti","WOL","D","278","FA","@TOT Sat 8:00PM","14.58","2.92","4%","+0.4%"
"*05r4h*","Lamare Bogarde","AVL","D","279","FA","FUL Sun 2:00PM","14.43","3.61","1%","0%"
"*06y9n*","Jamie Gittens","CHE","F","280","FA","BHA Sat 3:00PM","14.29","3.57","50%","-12.7%"
"*06v12*","Fer Lopez","WOL","F","281","FA","@TOT Sat 8:00PM","14.2","3.55","7%","+2.3%"
"*05t6y*","Hannibal Mejbri","BUR","M","282","FA","@MCI Sat 3:00PM","14.14","2.83","2%","-0.2%"
"*06zqk*","David Moller Wolfe","WOL","D","283","FA","@TOT Sat 8:00PM","14","4.67","3%","-0.5%"
"*070ci*","Amine Adli","BOU","F","284","FA","@LEE Sat 3:00PM","13.73","3.43","13%","-4.1%"
"*03gu5*","Andrew Robertson","LIV","D","285","Fsail93","@CRY Sat 3:00PM","13.62","6.81","24%","+12.5%"
"*063zi*","Matheus Nunes","MCI","D","286","Rozza08","BUR Sat 3:00PM","13.56","4.52","40%","-9.6%"
"*05uel*","Kristoffer Ajer","BRF","D","287","FA","MUN Sat 12:30PM","13.42","4.47","0%","0%"
"*06kx1*","Justin Devenny","CRY","M","288","FA","LIV Sat 3:00PM","13.35","2.67","1%","-0.5%"
"*06fwx*","Santiago Bueno","WOL","D","289","FA","@TOT Sat 8:00PM","13.13","6.57","1%","+0.2%"
"*06zxy*","Benjamin Sesko","MUN","F","290","Ekitiki","@BRF Sat 12:30PM","13.11","2.62","83%","-0.9%"
"*06r2g*","Rio Ngumoha","LIV","F","291","FA","@CRY Sat 3:00PM","12.96","6.48","8%","-0.5%"
"*06ab3*","Lewis Miley","NEW","M","292","FA","ARS Sun 4:30PM","12.85","3.21","2%","+1.2%"
"*06phw*","Federico Chiesa","LIV","F","293","FA","@CRY Sat 3:00PM","12.63","3.16","10%","-1.1%"
"*05opl*","Wesley Fofana","CHE","D","294","FA","BHA Sat 3:00PM","12.58","4.19","10%","-0.6%"
"*04mdn*","Anthony Gordon","NEW","M","295","ojag7","ARS Sun 4:30PM","12.5","6.25","99%","0%"
"*043c1*","Oleksandr Zinchenko","NOT","D","296","CUM","SUN Sat 5:30PM","11.95","11.95","22%","+12.7%"
"*06zwj*","Evann Guessand","AVL","F","297","FA","FUL Sun 2:00PM","11.54","2.89","15%","+3.3%"
"*04ge6*","Joe Willock","NEW","M","298","FA","ARS Sun 4:30PM","11.45","5.72","3%","+2.1%"
"*02xtd*","Sam Johnstone","WOL","G","299","FA","@TOT Sat 8:00PM","11.05","11.05","1%","+0.1%"
"*05uhj*","Conor Bradley","LIV","D","300","FA","@CRY Sat 3:00PM","10.88","3.63","58%","+13.3%"
"*06uzy*","Ao Tanaka","LEE","M","301","FA","BOU Sat 3:00PM","10.82","3.61","5%","-0.3%"
"*06ybp*","Thierno Barry","EVE","F","302","Ekitiki","WHU Mon 8:00PM","10.78","2.16","29%","-2.6%"
"*05o4c*","Timothy Castagne","FUL","D","303","FA","@AVL Sun 2:00PM","10.67","3.56","1%","-0.3%"
"*05ybq*","Vitalii Mykolenko","EVE","D","304","Fsail93","WHU Mon 8:00PM","10.65","5.33","58%","-2.4%"
"*06zbp*","Max Dowman","ARS","M","305","FA","@NEW Sun 4:30PM","10.54","5.27","4%","-1.3%"
"*06fhy*","Wilson Odobert","TOT","F","306","FA","WOL Sat 8:00PM","10.41","2.08","11%","+7.9%"
"*04spp*","Douglas Luiz","NOT","M","307","joester1","SUN Sat 5:30PM","10.4","10.4","26%","-2%"
"*052cb*","Ian Maatsen","AVL","D","308","FA","FUL Sun 2:00PM","10.25","3.42","33%","-4.2%"
"*06phe*","Ferdi Kadioglu","BHA","D","309","FA","@CHE Sat 3:00PM","10.01","2.5","8%","+3.7%"
"*070h9*","Veljko Milosavljevic","BOU","D","310","FA","@LEE Sat 3:00PM","9.95","9.95","2%","-0.4%"
"*070hn*","Dilane Bakwa","NOT","F","311","FA","SUN Sat 5:30PM","9.64","4.82","15%","+9.7%"
"*063y7*","Destiny Udogie","TOT","D","312","joester1","WOL Sat 8:00PM","9.32","3.11","40%","+7.6%"
"*0687c*","Carlos Alcaraz","EVE","M","313","FA","WHU Mon 8:00PM","9.3","2.33","35%","-4.9%"
"*05ts6*","Yerson Mosquera","WOL","D","314","FA","@TOT Sat 8:00PM","9.22","4.61","2%","+0.3%"
"*06v0f*","Jenson Seelt","SUN","D","315","FA","@NOT Sat 5:30PM","8.91","4.46","0%","0%"
"*067ys*","Jack Hinshelwood","BHA","M","316","FA","@CHE Sat 3:00PM","8.64","2.88","7%","-2.8%"
"*04ge7*","Donyell Malen","AVL","F","317","FA","FUL Sun 2:00PM","8.62","1.72","18%","-3.8%"
"*06nyw*","Jorge Cuenca","FUL","D","318","FA","@AVL Sun 2:00PM","8.47","4.23","0%","0%"
"*02lnx*","Danny Welbeck","BHA","F","319","FA","@CHE Sat 3:00PM","8.42","1.68","36%","-6%"
"*068a0*","Andrey Santos","CHE","M","320","FA","BHA Sat 3:00PM","8.35","2.09","1%","-0.2%"
"*02m11*","Matt Doherty","WOL","D","321","FA","@TOT Sat 8:00PM","8.35","4.17","1%","0%"
"*04yjx*","Ki-Jana Hoever","WOL","D","322","FA","@TOT Sat 8:00PM","8.17","4.08","2%","-0.3%"
"*04spq*","Jack Harrison","LEE","M","323","FA","BOU Sat 3:00PM","8.12","2.03","4%","-0.3%"
"*05oig*","Liam Delap","CHE","F","324","FA","BHA Sat 3:00PM","8.07","2.69","53%","-3.8%"
"*04adp*","Aaron Wan-Bissaka","WHU","D","325","FA","@EVE Mon 8:00PM","7.9","3.95","61%","-7.2%"
"*051k3*","Jacob Ramsey","NEW","M","326","FA","ARS Sun 4:30PM","7.86","3.93","13%","-3%"
"*05y7c*","Archie Gray","TOT","M","327","FA","WOL Sat 8:00PM","7.82","3.91","2%","-0.2%"
"*065ao*","Ethan Nwaneri","ARS","M","328","FA","@NEW Sun 4:30PM","7.71","2.57","24%","+0.1%"
"*068yr*","Hamed Traore","BOU","M","329","FA","@LEE Sat 3:00PM","7.47","7.47","1%","-0.2%"
"*0666p*","Kobbie Mainoo","MUN","M","330","FA","@BRF Sat 12:30PM","7.43","2.48","9%","-0.5%"
"*061ve*","Ryan Christie","BOU","M","331","FA","@LEE Sat 3:00PM","7.17","2.39","18%","-1.7%"
"*06fso*","Wataru Endo","LIV","M","332","FA","@CRY Sat 3:00PM","7.04","2.35","1%","-0.4%"
"*06v02*","Joel Piroe","LEE","F","333","feeneya","BOU Sat 3:00PM","6.68","3.34","23%","-2.2%"
"*06crm*","Pau Torres","AVL","D","334","FA","FUL Sun 2:00PM","6.6","3.3","4%","-0.3%"
"*05tr1*","Ethan Pinnock","BRF","D","335","FA","MUN Sat 12:30PM","6.35","3.18","4%","0%"
"*070hj*","Kevin Santos Lopes de Macedo","FUL","F","336","EDL4EFL","@AVL Sun 2:00PM","6.35","3.18","54%","+16.5%"
"*06pig*","Morato","NOT","D","337","FA","SUN Sat 5:30PM","6.35","3.17","1%","+0.2%"
"*061xw*","Joe Worrall","BUR","D","338","FA","@MCI Sat 3:00PM","6.32","2.11","0%","0%"
"*05oef*","Alphonse Areola","WHU","G","339","FA","@EVE Mon 8:00PM","6.3","6.3","7%","+0.1%"
"*06mve*","Joshua Zirkzee","MUN","F","340","FA","@BRF Sat 12:30PM","6.24","3.12","7%","-1.8%"
"*061y6*","Ryan Yates","NOT","M","341","FA","SUN Sat 5:30PM","5.98","1.99","1%","0%"
"*06uzl*","Oliver Sonne","BUR","D","342","FA","@MCI Sat 3:00PM","5.92","1.97","0%","0%"
"*06clt*","Justin Kluivert","BOU","M","343","feeneya","@LEE Sat 3:00PM","5.91","1.48","89%","-2.7%"
"*04qrc*","Raul Jimenez","FUL","F","344","FA","@AVL Sun 2:00PM","5.81","1.16","45%","-6.6%"
"*03r93*","Joseph Gomez","LIV","D","345","FA","@CRY Sat 3:00PM","5.56","2.78","1%","-0.4%"
"*06y9o*","Igor Jesus Maciel da Cruz","NOT","F","346","ojag7","SUN Sat 5:30PM","5.51","1.38","5%","+1.3%"
"*03rzp*","Antonee Robinson","FUL","D","348","BMB","@AVL Sun 2:00PM","5.15","2.58","93%","-3.2%"
"*05tqz*","Rico Henry","BRF","D","347","FA","MUN Sat 12:30PM","5.15","1.03","1%","-0.2%"
"*02y6o*","Nathan Ake","MCI","D","349","FA","BUR Sat 3:00PM","5.03","1.68","3%","-0.5%"
"*05uhs*","James Mcatee","NOT","M","350","FA","SUN Sat 5:30PM","5","1.67","13%","-4.7%"
"*03fgo*","Dominic Solanke","TOT","F","351","Ekitiki","WOL Sat 8:00PM","4.85","2.42","84%","-1.1%"
"*06v0l*","Chris Rigg","SUN","M","352","FA","@NOT Sat 5:30PM","4.66","1.55","1%","+0.2%"
"*06rm8*","Mathys Tel","TOT","F","353","FA","WOL Sat 8:00PM","4.42","1.47","32%","-13.7%"
"*06kyx*","Andy Irving","WHU","M","354","FA","@EVE Mon 8:00PM","4.36","1.45","0%","0%"
"*0620k*","Nayef Aguerd","WHU","D","355","FA","@EVE Mon 8:00PM","4.35","2.17","1%","0%"
"*06l4i*","Tyrique George","CHE","F","356","FA","BHA Sat 3:00PM","4.22","1.41","1%","-0.3%"
"*070g8*","Nicolo Savona","NOT","D","357","FA","SUN Sat 5:30PM","4.19","4.19","1%","-0.2%"
"*06nv3*","Filip Jorgensen","CHE","G","358","FA","BHA Sat 3:00PM","3.91","3.91","1%","+0.1%"
"*06y4g*","Antoni Milambo","BRF","M","359","FA","MUN Sat 12:30PM","3.9","3.9","1%","0%"
"*0703h*","Arnaud Kalimuendo","NOT","F","360","FA","SUN Sat 5:30PM","3.89","0.97","4%","-1.9%"
"*070hi*","Merlin Rohl","EVE","M","361","FA","WHU Mon 8:00PM","3.86","3.86","1%","0%"
"*06mvz*","Savio","MCI","M","363","FA","BUR Sat 3:00PM","3.78","1.89","78%","-2.5%"
"*070g9*","Soungoutou Magassa","WHU","M","362","FA","@EVE Mon 8:00PM","3.78","1.89","1%","+0.1%"
"*06onx*","Jean-Clair Todibo","WHU","D","364","FA","@EVE Mon 8:00PM","3.77","1.89","1%","-0.2%"
"*067yu*","Facundo Buonanotte","CHE","M","365","FA","BHA Sat 3:00PM","3.7","3.7","5%","-13.6%"
"*070ho*","Lutsharel Geertruida","SUN","D","366","FA","@NOT Sat 5:30PM","3.26","1.63","1%","-0.4%"
"*03u2b*","Adama Traore","FUL","F","367","FA","@AVL Sun 2:00PM","3.06","1.02","12%","-0.9%"
"*06uyd*","Diego Coppola","BHA","D","368","FA","@CHE Sat 3:00PM","3.05","1.52","1%","0%"
"*06oav*","Guido Rodriguez","WHU","M","369","FA","@EVE Mon 8:00PM","2.9","2.9","0%","0%"
"*066sd*","Myles Lewis-Skelly","ARS","D","370","FA","@NEW Sun 4:30PM","2.55","0.85","43%","-6.9%"
"*05o6h*","Kai Havertz","ARS","F","371","FA","@NEW Sun 4:30PM","2.35","2.35","59%","-0.8%"
"*04xjr*","Harvey Elliott","AVL","M","372","ojag7","FUL Sun 2:00PM","2.25","0.75","59%","-3%"
"*070gu*","Alex Jimenez","BOU","D","373","FA","@LEE Sat 3:00PM","2.19","1.09","4%","+1.1%"
"*070hh*","Christantus Uche","CRY","M","374","FA","LIV Sat 3:00PM","2.1","2.1","8%","-3.2%"
"*06r9h*","Romain Esse","CRY","M","375","FA","LIV Sat 3:00PM","1.98","1.98","3%","-0.3%"
"*04ge9*","Eddie Nketiah","CRY","F","376","FA","LIV Sat 3:00PM","1.93","1.93","4%","0%"
"*06uzo*","Zian Flemming","BUR","M","377","FA","@MCI Sat 3:00PM","1.86","0.62","1%","-0.1%"
"*04p0d*","Dwight McNeil","EVE","M","378","FA","WHU Mon 8:00PM","1.78","1.78","41%","-7%"
"*06492*","Sasa Kalajdzic","WOL","F","379","FA","@TOT Sat 8:00PM","1.76","1.76","0%","0%"
"*057cr*","Kevin Danso","TOT","D","380","FA","WOL Sat 8:00PM","1.7","0.85","1%","0%"
"*060wh*","Alejandro Garnacho","CHE","M","381","W <small>(Fri)</small>","BHA Sat 3:00PM","1.6","1.6","61%","+0.6%"
"*03brm*","Patrick Roberts","SUN","M","382","FA","@NOT Sat 5:30PM","1.54","1.54","0%","0%"
"*06nvg*","Jota Silva","NOT","F","383","FA","SUN Sat 5:30PM","1.47","1.47","3%","-0.1%"
"*0646f*","Alexander Isak","LIV","F","384","FPLL","@CRY Sat 3:00PM","1.44","1.44","100%","-0.1%"
"*06kqy*","Ayden Heaven","MUN","D","386","FA","@BRF Sat 12:30PM","1.31","1.31","1%","0%"
"*02t1k*","Nathaniel Clyne","CRY","D","385","FA","LIV Sat 3:00PM","1.31","1.31","0%","0%"
"*070hc*","Brian Brobbey","SUN","F","387","FA","@NOT Sat 5:30PM","1.15","1.15","12%","-2.8%"
"*05w9q*","Odsonne Edouard","CRY","F","388","FA","LIV Sat 3:00PM","1.04","1.04","0%","0%"
"*06v0j*","Dan Neil","SUN","M","389","FA","@NOT Sat 5:30PM","1.02","1.02","0%","0%"
"*06mnm*","Marc Guiu","CHE","F","390","FA","BHA Sat 3:00PM","0.99","0.49","6%","-1.9%"
"*0521z*","James Justin","LEE","D","391","FA","BOU Sat 3:00PM","0.8","0.4","1%","-0.2%"
"*05gvx*","Armando Broja","BUR","F","392","FA","@MCI Sat 3:00PM","0.77","0.77","3%","-0.3%"
"*05y5b*","Freddie Potts","WHU","M","393","FA","@EVE Mon 8:00PM","0.65","0.65","0%","0%"
"*062og*","Aaron Hickey","BRF","D","394","FA","MUN Sat 12:30PM","0.63","0.21","1%","0%"
"*03pig*","Jamaal Lascelles","NEW","D","395","FA","ARS Sun 4:30PM","0.6","0.6","0%","0%"
"*06mgp*","Luis Guilherme","WHU","M","396","FA","@EVE Mon 8:00PM","0.53","0.27","1%","0%"
"*05tre*","Vitaly Janelt","BRF","M","398","FA","MUN Sat 12:30PM","0.3","0.3","1%","0%"
"*06r7l*","Bradley Burrowes","AVL","M","397","FA","FUL Sun 2:00PM","0.3","0.3","0%","0%"
"*06xza*","Eli Kroupi","BOU","F","399","FA","@LEE Sat 3:00PM","0.22","0.07","1%","0%"
"*05ubv*","Omari Hutchinson","NOT","F","400","FA","SUN Sat 5:30PM","0.18","0.09","5%","-1.9%"
"*045yy*","Arthur Masuaku","SUN","D","401","FA","@NOT Sat 5:30PM","0.18","0.18","0%","0%"
"*04gw7*","Jadon Sancho","AVL","M","403","Fsail93","FUL Sun 2:00PM","0.14","0.14","37%","-6.6%"
"*03ysd*","Sam Byram","LEE","D","402","FA","BOU Sat 3:00PM","0.14","0.14","0%","0%"
"*04fk8*","Victor Lindelof","AVL","D","404","FA","FUL Sun 2:00PM","0.12","0.12","1%","-0.1%"
"*06qwh*","Ben Winterburn","BOU","M","405","FA","@LEE Sat 3:00PM","0.12","0.12","0%","0%"
"*044w8*","Marcus Edwards","BUR","F","406","FA","@MCI Sat 3:00PM","0.1","0.1","7%","-0.4%"
"*06195*","Tyler Dibling","EVE","M","407","FA","WHU Mon 8:00PM","0.06","0.06","13%","-5.1%"
"*06onv*","Harrison Armstrong","EVE","M","408","FA","WHU Mon 8:00PM","0.02","0.02","0%","0%"
"*06r7f*","Julio Soler","BOU","D","410","FA","@LEE Sat 3:00PM","0.02","0.02","0%","0%"
"*02lpl*","Seamus Coleman","EVE","D","409","FA","WHU Mon 8:00PM","0.02","0.02","0%","0%"
"*05uor*","Yoane Wissa","NEW","F","684","FPLL","ARS Sun 4:30PM","0","0","97%","-1.9%"
"*070hp*","Randal Kolo Muani","TOT","F","541","Fsail93","WOL Sat 8:00PM","0","0","67%","-2.4%"
"*05ylx*","Dejan Kulusevski","TOT","M","547","FA","WOL Sat 8:00PM","0","0","45%","-1.1%"
"*05l27*","Jarrad Branthwaite","EVE","D","459","CUM","WHU Mon 8:00PM","0","0","37%","-1.9%"
"*0414o*","James Maddison","TOT","M","560","FA","WOL Sat 8:00PM","0","0","27%","-0.9%"
"*062p5*","Levi Colwill","CHE","D","476","FA","BHA Sat 3:00PM","0","0","16%","-0.2%"
"*04ge8*","Reiss Nelson","BRF","F","589","FA","MUN Sat 12:30PM","0","0","13%","-3.3%"
"*04fk5*","Ederson","MCI","G","637","FA","BUR Sat 3:00PM","0","0","13%","-1%"
"*070hq*","Piero Hincapie","ARS","D","523","FA","@NEW Sun 4:30PM","0","0","12%","-4%"
"*05tr8*","Christian Norgaard","ARS","M","592","FA","@NEW Sun 4:30PM","0","0","11%","-0.7%"
"*070hl*","Senne Lammens","MUN","G","551","Ekitiki","@BRF Sat 12:30PM","0","0","10%","-1.4%"
"*03jly*","Andreas Pereira","FUL","M","526","FA","@AVL Sun 2:00PM","0","0","8%","-0.6%"
"*070hk*","Samuel Chukwueze","FUL","F","473","FA","@AVL Sun 2:00PM","0","0","8%","-2%"
"*062pl*","Lisandro Martinez","MUN","D","569","FA","@BRF Sat 12:30PM","0","0","4%","-0.5%"
"*06dps*","Andre Onana","MUN","G","599","FA","@BRF Sat 12:30PM","0","0","4%","-0.9%"
"*06xzg*","Giorgi Mamardashvili","LIV","G","563","FA","@CRY Sat 3:00PM","0","0","4%","-0.1%"
"*04amh*","Aaron Ramsdale","NEW","G","624","FA","ARS Sun 4:30PM","0","0","4%","0%"
"*06exb*","Rasmus Hojlund","MUN","F","527","FA","@BRF Sat 12:30PM","0","0","4%","-0.6%"
"*06xzd*","Charalampos Kostoulas","BHA","F","543","FA","@CHE Sat 3:00PM","0","0","4%","0%"
"*045c8*","Gabriel Jesus","ARS","F","689","FA","@NEW Sun 4:30PM","0","0","4%","+0.3%"
"*04u40*","Kepa","ARS","G","427","FA","@NEW Sun 4:30PM","0","0","4%","-0.1%"
"*0649j*","Manuel Akanji","MCI","D","417","FA","BUR Sat 3:00PM","0","0","3%","-0.3%"
"*05mzt*","Illan Meslier","LEE","G","576","FA","BOU Sat 3:00PM","0","0","3%","-0.2%"
"*04u41*","Mateo Kovacic","MCI","M","544","FA","BUR Sat 3:00PM","0","0","3%","+0.3%"
"*066nn*","Ben Doak","BOU","F","488","FA","@LEE Sat 3:00PM","0","0","2%","-0.7%"
"*04e1k*","Solly March","BHA","M","566","FA","@CHE Sat 3:00PM","0","0","2%","+0.1%"
"*0435t*","Ilkay Gundogan","MCI","M","512","FA","BUR Sat 3:00PM","0","0","2%","-0.1%"
"*06329*","Manor Solomon","TOT","F","651","FA","WOL Sat 8:00PM","0","0","2%","-0.1%"
"*0701y*","Giovanni Leoni","LIV","D","555","FA","@CRY Sat 3:00PM","0","0","1%","-0.2%"
"*06yey*","Borna Sosa","CRY","D","652","FA","LIV Sat 3:00PM","0","0","1%","0%"
"*05unu*","Romeo Lavia","CHE","M","553","FA","BHA Sat 3:00PM","0","0","1%","-0.1%"
"*05uns*","Leon Bailey","AVL","M","435","FA","FUL Sun 2:00PM","0","0","1%","0%"
"*06v0m*","Luke ONien","SUN","M","596","FA","@NOT Sat 5:30PM","0","0","1%","0%"
"*04rzl*","Taiwo Awoniyi","NOT","F","431","FA","SUN Sat 5:30PM","0","0","1%","-0.2%"
"*06roj*","Chido Obi-Martin","MUN","F","597","FA","@BRF Sat 12:30PM","0","0","1%","-0.2%"
"*06cm0*","Christopher Nkunku","CHE","F","590","FA","BHA Sat 3:00PM","0","0","1%","0%"
"*06v0d*","Anthony Patterson","SUN","G","605","FA","@NOT Sat 5:30PM","0","0","1%","+0.1%"
"*06r6s*","Antonin Kinsky","TOT","G","538","FA","WOL Sat 8:00PM","0","0","1%","0%"
"*063c2*","Gabriel Slonina","CHE","G","648","FA","BHA Sat 3:00PM","0","0","1%","0%"
"*05n3v*","Konstantinos Tsimikas","LIV","D","665","FA","@CRY Sat 3:00PM","0","0","1%","0%"
"*03sbh*","Enes Unal","BOU","F","671","FA","@LEE Sat 3:00PM","0","0","1%","+0.3%"
"*061xs*","Julio Enciso","BHA","M","496","FA","@CHE Sat 3:00PM","0","0","1%","-0.1%"
"*062h9*","Luis Sinisterra","BOU","F","647","FA","@LEE Sat 3:00PM","0","0","1%","-0.1%"
"*04rha*","Jason Steele","BHA","G","654","FA","@CHE Sat 3:00PM","0","0","1%","-0.1%"
"*06fy7*","Nicolas Dominguez","NOT","M","490","FA","SUN Sat 5:30PM","0","0","1%","0%"
"*06hze*","Treymaurice Nyoni","LIV","M","594","FA","@CRY Sat 3:00PM","0","0","1%","0%"
"*06ys4*","Sverre Nypan","MCI","M","595","FA","BUR Sat 3:00PM","0","0","1%","+0.1%"
"*06y26*","Olivier Boscagli","BHA","D","456","FA","@CHE Sat 3:00PM","0","0","1%","-0.1%"
"*06zef*","Adam Aznou","EVE","D","432","FA","WHU Mon 8:00PM","0","0","1%","-0.1%"
"*062p0*","Stefan Bajcetic","LIV","M","437","FA","@CRY Sat 3:00PM","0","0","1%","0%"
"*06v51*","Jaka Bijol","LEE","D","450","FA","BOU Sat 3:00PM","0","0","1%","0%"
"*06kyw*","Claudio Echeverri","MCI","M","495","FA","BUR Sat 3:00PM","0","0","1%","0%"
"*06804*","Benoit Badiashile","CHE","D","434","FA","BHA Sat 3:00PM","0","0","1%","0%"
"*02lpf*","Ross Barkley","AVL","M","441","FA","FUL Sun 2:00PM","0","0","1%","+0.1%"
"*05g4d*","Dennis Cirkin","SUN","D","474","FA","@NOT Sat 5:30PM","0","0","1%","+0.1%"
"*062ot*","Cheick Doucoure","CRY","M","492","FA","LIV Sat 3:00PM","0","0","1%","+0.1%"
